CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
28754 DBS Bank,2023/12,4,N,12,NTD,629012.00 ,26306541.00 ,23728182.00 ,31375.00 ,0.00 ,21693221.00 ,176249.00 ,0.00 ,144006042.00 ,14725696.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2204.00 ,7099.00 ,0.00 ,14.00 ,162875.00 ,18954892.00 ,250423402.00 ,166854865.00 ,0.00 ,18087965.00 ,660613.00 ,0.00 ,0.00 ,0.00 ,3520839.00 ,97375.00 ,0.00 ,51356150.00 ,0.00 ,0.00 ,0.00 ,316859.00 ,7207.00 ,0.00 ,329641.00 ,975999.00 ,242207513.00 ,200000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200000.00 ,0.00 ,-,-,-,7992880.00 ,-,-,-,-,-,-,-,-,-,23009.00 ,0.00 ,8215889.00 ,0.00 ,0.00 ,0.00 ,8215889.00 ,250423402.00 
2801 CHANG HWA BANK,2023/12,4,Y,12,NTD,59446777.00 ,183833192.00 ,73576072.00 ,0.00 ,0.00 ,20991624.00 ,135733.00 ,0.00 ,1802524696.00 ,261736003.00 ,453142979.00 ,0.00 ,0.00 ,1235692.00 ,21047700.00 ,1938304.00 ,13872697.00 ,996476.00 ,3361545.00 ,3034649.00 ,2900874139.00 ,113218248.00 ,0.00 ,6594822.00 ,0.00 ,0.00 ,11138326.00 ,0.00 ,36498738.00 ,1795507.00 ,0.00 ,2475788955.00 ,49163511.00 ,0.00 ,1234258.00 ,3306843.00 ,1783082.00 ,0.00 ,9874181.00 ,2479612.00 ,2712876083.00 ,108582930.00 ,0.00 ,0.00 ,0.00 ,0.00 ,108582930.00 ,0.00 ,46674889.00 ,12201590.00 ,13482750.00 ,72359229.00 ,-1211214.00 ,8267111.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7055897.00 ,0.00 ,187998056.00 ,0.00 ,0.00 ,0.00 ,187998056.00 ,2900874139.00 
